qa_id,text
c5e4653f-b96c-4a35-aa31-05af55e4e245,"地形による変化率の各地形区分の勾配を教えてください。"
c5e4653f-b96c-4a35-aa31-05af55e4e245,"地形による分類にある平地、丘陵地、低山地、高山地の区分けになる勾配を教えてください。"
c5e4653f-b96c-4a35-aa31-05af55e4e245,"平地と丘陵地の違いを教えてください。"
c5e4653f-b96c-4a35-aa31-05af55e4e245,"低山地と高山地の区分基準は何ですか。"
c5e4653f-b96c-4a35-aa31-05af55e4e245,"地形区分の勾配基準について知りたいです。"
c5e4653f-b96c-4a35-aa31-05af55e4e245,"平地、丘陵地、低山地、高山地の定義を教えてください。"
a4c1d87f-fb4a-423f-9266-d90e394605e6,"橋梁設計（標準設計・JIS桁）の場合の電子計算機使用料の扱いについて教えてください。"
a4c1d87f-fb4a-423f-9266-d90e394605e6,"設計業務等標準積算金基準書（令和6年度版）P.3-2-81に記載されております、「（5）標準設計を利用、またはＪＩＳ桁を使用する場合」には電子計算機使用料の計上がないようですが、この根拠はあるのでしょうか。ご教示ください。よろしくお願いいたします。"
a4c1d87f-fb4a-423f-9266-d90e394605e6,"標準設計を利用する場合に電子計算機使用料が計上されない理由を教えてください。"
a4c1d87f-fb4a-423f-9266-d90e394605e6,"JIS桁使用時の電子計算機使用料について教えてください。"
a4c1d87f-fb4a-423f-9266-d90e394605e6,"電子計算機使用料が対象外となる条件を知りたいです。"
a4c1d87f-fb4a-423f-9266-d90e394605e6,"橋梁設計で電子計算機使用料が計上されないケースはありますか。"
dbcf58cf-4195-46cd-9d54-6d47e975ded4,"物価資料の比較平均値について教えてください。"
dbcf58cf-4195-46cd-9d54-6d47e975ded4,"地質調査についてです。市場単価（積算資料・建設物価比較平均値）の中の選択肢として、積算資料と建設物価の平均値の有効上位3桁の、4桁目以降を四捨五入で3桁目に返した単価を設定して、選択肢に追加するようなことは可能でしょうか。選択肢としては、「積算資料・建設物価比較平均値（有効上位3桁止：四捨五入）」というような感じになろうかと思います。防衛省の積算では、上記対応になっているとのことでしたので、よろしければ対応をお願いできますでしょうか。（現状、手作業にて直しております。）"
dbcf58cf-4195-46cd-9d54-6d47e975ded4,"比較平均値の四捨五入対応はできますか。"
dbcf58cf-4195-46cd-9d54-6d47e975ded4,"有効上位3桁止の四捨五入について教えてください。"
dbcf58cf-4195-46cd-9d54-6d47e975ded4,"積算資料・建設物価比較平均値の丸め処理を変更できますか。"
dbcf58cf-4195-46cd-9d54-6d47e975ded4,"市場単価の4桁目以降を四捨五入する設定はありますか。"
dbcf58cf-4195-46cd-9d54-6d47e975ded4,"防衛省積算と同じ四捨五入処理に対応していますか。"
dbcf58cf-4195-46cd-9d54-6d47e975ded4,"比較平均値の端数処理方法を教えてください。"
06bc0bad-0ce9-420d-84d3-a81c87de50db,"休日割増の算出式の根拠を教えてください。"
06bc0bad-0ce9-420d-84d3-a81c87de50db,"休日割増賃金の算出式について　設計業務等標準積算基準書には、時間外手当の算出についての記載はありますが休日割増についての記載がありません。維津美で適用している休日割増の算出式の根拠をお示しいただけないでしょうか（国交省の公表資料等）。委託業務への休日割増適用について　休日割増については、委託業務も対象になると考えていいのでしょうか。こちらも根拠となる資料（国交省の公表資料等）がありましたらご提示いただけないでしょうか。"
06bc0bad-0ce9-420d-84d3-a81c87de50db,"休日割増賃金の計算根拠を教えてください。"
06bc0bad-0ce9-420d-84d3-a81c87de50db,"休日割増の算出方法について知りたいです。"
06bc0bad-0ce9-420d-84d3-a81c87de50db,"休日割増は委託業務にも適用されますか。"
06bc0bad-0ce9-420d-84d3-a81c87de50db,"技術者の休日割増の扱いについて教えてください。"
06bc0bad-0ce9-420d-84d3-a81c87de50db,"休日労働時の割増賃金の考え方を知りたいです。"
06bc0bad-0ce9-420d-84d3-a81c87de50db,"休日割増の国交省資料はありますか。"
06bc0bad-0ce9-420d-84d3-a81c87de50db,"委託業務で休日割増を計上する必要はありますか。"
b773a809-0b73-46bb-a7e0-93c147b7e4d7,"物価資料を用いる単価の端数処理設定について教えてください。"
b773a809-0b73-46bb-a7e0-93c147b7e4d7,"物価資料の市場単価を計上する際、建設物価と積算資料の平均値を上位3桁で四捨五入を行った単価を適用することは出来ますでしょうか。"
b773a809-0b73-46bb-a7e0-93c147b7e4d7,"市場単価の平均値を四捨五入する設定はありますか。"
b773a809-0b73-46bb-a7e0-93c147b7e4d7,"建設物価と積算資料の平均値の端数処理方法を教えてください。"
b773a809-0b73-46bb-a7e0-93c147b7e4d7,"有効上位3桁で四捨五入した単価を使えますか。"
b773a809-0b73-46bb-a7e0-93c147b7e4d7,"物価資料単価の丸め処理を変更できますか。"
b773a809-0b73-46bb-a7e0-93c147b7e4d7,"市場単価の端数処理設定について知りたいです。"
b773a809-0b73-46bb-a7e0-93c147b7e4d7,"積算資料と建設物価の平均値を四捨五入できますか。"
b059cce5-e0d5-491a-94c4-cc9ce33ce1d1,"農林水産省のライトバン運転費の算出根拠を教えてください。"
b059cce5-e0d5-491a-94c4-cc9ce33ce1d1,"農林水産省の土地改良工事積算基準によるライトバンの算定方法は基準のどこに書かれているでしょうか。※EXP2の0.8以下および1.2以上や0.8～1.2での式など"
b059cce5-e0d5-491a-94c4-cc9ce33ce1d1,"ライトバン運転費の計算式について教えてください。"
b059cce5-e0d5-491a-94c4-cc9ce33ce1d1,"土地改良工事積算基準のライトバン算定方法を知りたいです。"
b059cce5-e0d5-491a-94c4-cc9ce33ce1d1,"EXP2を用いたライトバン算出式はどこに記載されていますか。"
b059cce5-e0d5-491a-94c4-cc9ce33ce1d1,"ライトバンの運転費算定根拠を教えてください。"
b059cce5-e0d5-491a-94c4-cc9ce33ce1d1,"農水省基準のライトバン単価計算方法について知りたいです。"
b059cce5-e0d5-491a-94c4-cc9ce33ce1d1,"ライトバンのEXP2計算式について教えてください。"
e72669cf-5c21-4a41-a895-71892f12e724,"電線共同溝（C･C･BOX）予備設計の端数処理設定について教えてください。"
e72669cf-5c21-4a41-a895-71892f12e724,"電線共同溝（C･C･BOX）予備設計についてお教えください。①地域補正の式を選択したときに【端数処理桁】がある②端数設定の補正の処理方法が【処理しない】であるこの上記2つは維津美で昔からの設定でしょうか。もしくは最近でしょうか。最近の場合はいつからかわかりますでしょうか。よろしくお願いいたします。"
e72669cf-5c21-4a41-a895-71892f12e724,"C･C･BOX予備設計の端数処理設定について知りたいです。"
e72669cf-5c21-4a41-a895-71892f12e724,"電線共同溝予備設計の補正処理設定はいつ変更されましたか。"
e72669cf-5c21-4a41-a895-71892f12e724,"地域補正の端数処理桁設定について教えてください。"
e72669cf-5c21-4a41-a895-71892f12e724,"端数設定が「処理しない」になっている理由を知りたいです。"
e72669cf-5c21-4a41-a895-71892f12e724,"歩掛V7J02の設定変更内容について教えてください。"
e72669cf-5c21-4a41-a895-71892f12e724,"電線共同溝（C･C･BOX）の端数処理仕様について知りたいです。"
56eaed8b-22d1-4416-b1d1-2dc461c5e269,"市場単価と部材単価の違いについて教えてください。"
56eaed8b-22d1-4416-b1d1-2dc461c5e269,"市場単価と部材単価の違いを教えていただけませんか？市場単価は、建設物価・積算資料それぞれの単価が確認できる認識でよろしいでしょうか？またどちらも毎月更新されるものでしょうか？宜しくお願い致します。"
56eaed8b-22d1-4416-b1d1-2dc461c5e269,"市場単価と部材単価の区分の違いを教えてください。"
56eaed8b-22d1-4416-b1d1-2dc461c5e269,"市場単価では建設物価と積算資料の単価を確認できますか。"
56eaed8b-22d1-4416-b1d1-2dc461c5e269,"部材単価は平均値のみですか。"
56eaed8b-22d1-4416-b1d1-2dc461c5e269,"市場単価と部材単価の更新タイミングを教えてください。"
56eaed8b-22d1-4416-b1d1-2dc461c5e269,"物価資料単価は毎月更新されますか。"
56eaed8b-22d1-4416-b1d1-2dc461c5e269,"市場単価と部材単価の違いを知りたいです。"
56eaed8b-22d1-4416-b1d1-2dc461c5e269,"市場単価の平均値区分について教えてください。"
